x0000,y0000
36.0689470871,0.0229925926
36.1571352218,0.0031626920
36.2453233565,-0.0174597198
36.3335114912,-0.0332435819
36.4216996259,-0.0398773742
36.5098877606,-0.0355461275
36.5980758952,-0.0214310176
36.6862640299,-0.0013912883
36.7744521646,0.0190904368
36.8626402993,0.0344102901
36.950828434,0.0403786411
37.0390165687,0.0353672225
37.1272047034,0.0207517037
37.2153928381,0.0005312488
37.3035809727,-0.0197653115
37.3917691074,-0.0345885188
37.4799572421,-0.0398839050
37.5681453768,-0.0342008014
37.6563335115,-0.0190922537
37.7445216462,0.0013054909
37.8327097809,0.0214046374
37.9208979156,0.0356992411
38.0090860502,0.0402754688
38.0972741849,0.0338837791
38.1854623196,0.0182791521
38.2736504543,-0.0022630025
38.361838589,-0.0221185843
38.4500267237,-0.0358516074
38.5382148584,-0.0397004532
38.6264029931,-0.0326091763
38.7145911277,-0.0165193791
38.8027792624,0.0041587569
38.8909673971,0.0237539362
38.9791555318,0.0368912603
39.0673436665,0.0399695939
39.1555318012,0.0321486255
39.2437199359,0.0155766214
39.3319080706,-0.005200505
39.4200962052,-0.0244862867
39.5082843399,-0.0369941087
39.5964724746,-0.0392940108
39.6846606093,-0.0307534020
39.772848744,-0.0137144569
39.8610368787,0.0071457674
39.9492250134,0.0260993055
40.0374131480,0.0379412845
40.1256012827,0.0394211076
40.2137894174,0.0301360209
40.3019775521,0.0126394565
40.3901656868,-0.0082633215
40.4783538215,-0.0268343295
40.5665419562,-0.0379755919
40.6547300909,-0.0386277652
40.7429182255,-0.0286109004
40.8311063602,-0.0106757660
40.9192944949,0.0102489552
41.0074826296,0.0284099866
41.0956707643,0.0388134534
41.183858899,0.0386007164
41.2720470337,0.0278337515
41.3602351684,0.0094757257
41.4484233030,-0.011424997
41.5366114377,-0.0291230607
41.6247995724,-0.0387545336
41.7129877071,-0.0376718585
41.8011758418,-0.0261715837
41.8893639765,-0.0074160637
41.9775521112,0.0134333788
42.0657402459,0.0306370780
42.1539283805,0.039458964
42.2421165152,0.0374716797
42.3303046499,0.0252252409
42.4184927846,0.0060944879
42.5066809193,-0.0146526442
42.594869054,-0.0313062448
42.6830571887,-0.0392838070
42.7712453234,-0.0363893595
42.8594334580,-0.0234190043
42.9476215927,-0.0039445174
43.0358097274,0.0166686196
43.1239978621,0.0327391114
43.2121859968,0.0398365796
43.3003741315,0.0360052520
43.3885622662,0.0223044346
43.4767504009,0.0025143123
43.5649385355,-0.0179090874
43.6531266702,-0.0333378044
43.7413148049,-0.039520932
43.8295029396,-0.0347549269
43.9176910743,-0.0203536731
44.005879209,-0.0002878306
44.0940673437,0.0199079048
44.1822554784,0.0346601094
44.2704436130,0.0398961101
44.3586317477,0.0341713898
44.4468198824,0.0190692075
44.5350080171,-0.0012388531
44.6231961518,-0.0211466232
44.7113842865,-0.0351607111
44.7995724212,-0.0394153521
44.8877605559,-0.0327379725
44.9759486905,-0.0169721823
45.0641368252,0.0035299241
45.1523249599,0.0231064754
45.2405130946,0.0363479667
45.3287012293,0.0395938485
45.416889364,0.0319474611
45.5050774987,0.0155246075
45.5932656334,-0.0051331025
45.6814537680,-0.0243153389
45.7696419027,-0.0367218276
45.8578300374,-0.0389265083
45.9460181721,-0.0303226254
46.0342063068,-0.0132890048
46.1223944415,0.0074663517
46.2105825762,0.0262046659
46.2987707108,0.0377417391
46.3869588455,0.0388840174
46.4751469802,0.029315434
46.5633351149,0.0116858986
46.6515232496,-0.0091233548
46.7397113843,-0.0273523586
46.827899519,-0.0379574808
46.9160876537,-0.038006919
47.0042757883,-0.0274901268
47.0924639230,-0.0093188651
47.1806520577,0.0114778736
47.2688401924,0.0291428641
47.3570283271,0.0387829552
47.4452164618,0.0377260044
47.5334045965,0.0262643401
47.6215927312,0.0075752179
47.7097808658,-0.0131605034
47.7979690005,-0.0301957422
47.8861571352,-0.0388109905
47.9743452699,-0.0366220751
48.0625334046,-0.0242390790
48.1507215393,-0.0050951981
48.238909674,0.0155044484
48.3270978087,0.0318504028
48.4152859433,0.0394096087
48.5034740780,0.0360837511
48.5916622127,0.0227945426
48.6798503474,0.0032299315
48.7680384821,-0.017179784
48.8562266168,-0.0327705269
48.9444147515,-0.0392173984
49.0326028862,-0.0347347035
49.1207910208,-0.0205699317
49.2089791555,-0.0006556288
49.2971672902,0.0194821624
49.3853554249,0.0342552715
49.4735435596,0.0395621538
49.5617316943,0.0339272958
49.649919829,0.0189143279
49.7381079637,-0.0013057440
49.8262960983,-0.0211136717
49.9144842330,-0.0350052663
50.0026723677,-0.0391221623
50.0908605024,-0.0323236854
50.1790486371,-0.0165023333
50.2672367718,0.0039437713
50.3554249065,0.0233334370
50.4436130412,0.0362795377
50.5318011758,0.0391839597
50.6199893105,0.0312376831
50.7081774452,0.0146486264
50.7963655799,-0.0059691628
50.8845537146,-0.0248786191
50.9727418493,-0.0368180785
51.060929984,-0.0384672342
51.1491181187,-0.0293706652
51.2373062533,-0.0120627091
51.3254943880,0.0086392467
51.4136825227,0.0269753623
51.5018706574,0.0378447765
51.5900587921,0.0382232599
51.6782469268,0.0280044562
51.7664350615,0.0100316005
51.8546231962,-0.0106908998
51.9428113308,-0.0283899495
52.0309994655,-0.0381338599
52.1191876002,-0.0372091031
52.2073757349,-0.0258768092
52.2955638696,-0.0072978276
52.3837520043,0.0133501768
52.471940139,0.0303153763
52.5601282737,0.0388726166
52.6483164083,0.0366383551
52.7365045430,0.0242347554
52.8246926777,0.0051179792
52.9128808124,-0.0153827177
53.0010689471,-0.0315494706
53.0892570818,-0.0388716274
53.1774452165,-0.0353068571
53.2656333511,-0.0218525261
53.3538214858,-0.0022659321
53.4420096205,0.0179868749
53.5301977552,0.0332570604
53.6183858899,0.0392870481
53.7065740246,0.0343958624
53.7947621593,0.0199478090
53.882950294,-0.0000261198
53.9711384286,-0.0199507232
54.0593265633,-0.0342620157
54.1475146980,-0.0389620712
54.2357028327,-0.0327379958
54.3238909674,-0.0173303705
54.4120791021,0.0029534881
54.5002672368,0.0224452099
54.5884553715,0.0357007568
54.6766435061,0.0390203982
54.7648316408,0.0314794050
54.8530197755,0.0151847528
54.9412079102,-0.0053119257
55.0293960449,-0.0242829508
55.1175841796,-0.0364239378
55.2057723143,-0.038338368
55.293960449,-0.0294904188
55.3821485836,-0.0123565618
55.4703367183,0.0082678373
55.5585248530,0.0266120164
55.6467129877,0.0375456068
55.7349011224,0.0380133199
55.8230892571,0.0278874861
55.9112773918,0.0100018874
55.9994655265,-0.0106406145
56.0876536611,-0.028265171
56.1758417958,-0.0379385988
56.2640299305,-0.0369507769
56.3522180652,-0.0255767777
56.4404061999,-0.0070028729
56.5285943346,0.0135659818
56.6167824693,0.030366782
56.704970604,0.0386949147
56.7931587386,0.0362213375
56.8813468733,0.0236423907
56.9695350080,0.0044828784
57.0577231427,-0.0158908156
57.1459112774,-0.0317718749
57.2340994121,-0.0387101198
57.3222875468,-0.0347593591
57.4104756815,-0.0210254545
57.4986638161,-0.0013593132
57.5868519508,0.0187219718
57.6750400855,0.0335843243
57.7632282202,0.0390597475
57.8514163549,0.0336160827
57.9396044896,0.0187844302
58.0277926243,-0.0012732562
58.115980759,-0.0209319964
58.2041688936,-0.0346791295
58.2923570283,-0.0386581399
58.3805451630,-0.0317508096
58.4687332977,-0.0158939850
58.5569214324,0.0044609069
58.6451095671,0.0235968197
58.7332977018,0.0361382843
58.8214858365,0.0385635158
58.9096739711,0.0301943699
58.9978621058,0.0133853195
59.0860502405,-0.0071403098
59.1742383752,-0.0256181365
59.2624265099,-0.0368604504
59.3506146446,-0.0377107743
59.4388027793,-0.0279294738
59.5269909139,-0.010263106
59.6151790486,0.0103237837
59.7033671833,0.0280422167
59.7915553180,0.0379079284
59.8797434527,0.037146269
59.9679315874,0.025974183
60.0561197221,0.0075376511
60.1443078568,-0.0129760608
60.2324959914,-0.029798616
60.3206841261,-0.0382014584
60.4088722608,-0.0358231673
60.4970603955,-0.0233326455
60.5852485302,-0.0042425812
60.6734366649,0.0160759221
60.7616247996,0.0319030726
60.8498129343,0.0387812780
60.9380010689,0.0347729358
61.0261892036,0.0210083336
61.1143773383,0.0013670934
61.2025654730,-0.0186169408
61.2907536077,-0.0333164293
61.3789417424,-0.0385949401
61.4671298771,-0.0329691526
61.5553180118,-0.0180244212
61.6435061464,0.0020309235
