D. M. Wieliczka and S. Weng and M. R. Querry, "Wedge shaped cell for
highly absorbent liquids: infrared optical constants of water," Appl.
Opt., 28, 1714--1719, (1989).

wavelength	absorption
(nm)	(1/cm)
9099.2	507.40
9090.9	507.17
9082.7	506.93
9074.4	506.29
9066.2	505.92
9058.0	505.54
9049.8	505.58
9041.6	505.62
9033.4	505.39
9025.3	505.42
9017.1	505.18
9009.0	505.22
9000.9	505.54
8992.8	505.15
8984.7	505.05
8976.7	505.08
8968.6	504.97
8960.6	505.01
8952.6	505.04
8944.5	505.07
8936.6	505.38
8928.6	505.41
8920.6	505.44
8912.7	505.32
8904.7	505.63
8896.8	505.66
8888.9	505.40
8881.0	504.72
8873.1	504.60
8865.2	504.77
8857.4	504.79
8849.6	504.53
8841.7	504.55
8833.9	504.57
8826.1	504.44
8818.3	504.17
8810.6	504.05
8802.8	503.78
8795.1	503.79
8787.3	503.95
8779.6	503.82
8771.9	503.98
8764.2	504.13
8756.6	504.14
8748.9	504.44
8741.3	504.59
8733.6	505.04
8726.0	505.19
8718.4	505.34
8710.8	505.49
8703.2	505.21
8695.7	505.36
8688.1	505.80
8680.6	506.10
8673.0	506.10
8665.5	506.25
8658.0	506.69
8650.5	506.69
8643.0	506.55
8635.6	506.55
8628.1	506.70
8620.7	506.70
8613.3	506.55
8605.9	506.84
8598.5	506.69
8591.1	506.98
8583.7	507.12
8576.3	506.97
8569.0	506.97
8561.6	507.25
8554.3	507.10
8547.0	506.80
8539.7	506.94
8532.4	506.93
8525.1	506.77
8517.9	507.06
8510.6	507.19
8503.4	507.77
8496.2	507.76
8489.0	508.19
8481.8	508.33
8474.6	508.02
8467.4	508.15
8460.2	508.28
8453.1	508.57
8445.9	508.70
8438.8	509.13
8431.7	509.26
8424.6	509.24
8417.5	509.37
8410.4	509.65
8403.4	509.33
8396.3	509.31
8389.3	509.59
8382.2	509.57
8375.2	509.84
8368.2	510.12
8361.2	510.40
8354.2	511.12
8347.2	511.55
8340.3	512.13
8333.3	512.86
8326.4	512.53
8319.5	512.81
8312.6	513.08
8305.6	513.51
8298.8	513.94
8291.9	514.36
8285.0	514.64
8278.1	514.91
8271.3	515.34
8264.5	515.31
8257.6	516.04
8250.8	516.46
